No,id,member_id,loan_status_class
1,15370116,17442550,1
2,17715755,19848222,1
3,28564368,31087572,1
4,9767534,11619444,1
5,10093345,11944442,0
6,13447223,15499523,1
7,20268285,22541059,1
8,818968,1027010,1
9,13468598,15520895,1
10,636499,815391,1
11,5615729,6997947,1
12,1257204,1499980,1
13,32409506,35022757,1
14,2309328,2741831,1
15,15350764,8551428,1
16,10092847,11944042,1
17,739194,936748,1
18,16431900,18514398,1
19,7449388,9111343,1
20,11696097,8719815,1
21,4444999,5677169,1
22,27430084,29923148,1
23,20889636,23162476,1
24,2838689,3421335,1
25,29093930,31627101,1
26,4280684,5463314,1
27,715710,909387,1
28,2477005,2969352,0
29,14367923,16420320,1
30,14417922,16470321,1
31,17964936,20117373,1
32,9835869,4631206,1
33,20760916,23033494,1
34,9564914,11417044,1
35,23845487,26218142,1
36,1047572,1278466,1
37,6316035,7847935,1
38,1032120,1261753,1
39,6819967,8441532,1
40,7092910,8754438,0
41,8967384,10759379,1
42,7371725,9033654,1
43,1419093,1669233,0
44,12625362,14687509,1
45,7266680,8908739,0
46,1555593,1821866,1
47,21279966,23582863,1
48,1855400,2157629,1
49,998014,1223147,1
50,1542113,1807786,1
51,1591770,1861528,1
52,791118,995389,1
53,11975761,13967919,1
54,16372674,18475141,1
55,20149352,22411972,1
56,30095517,32638721,1
57,1246758,1488878,1
58,232150,230747,1
59,17152655,16732071,1
60,10746583,12638658,1
61,27600801,30103903,1
62,17643988,19776494,0
63,34513323,37176656,1
64,11054894,12967042,1
65,6816078,8438181,1
66,7680881,9382314,1
67,7386121,9048234,1
68,3726826,4719251,1
69,17633866,19766385,1
70,10747201,12639265,1
71,33049973,35683205,1
72,31888206,34501408,1
73,18484514,20647216,1
74,37620685,40383457,1
75,33430310,36073532,1
76,19155435,21358181,1
77,4465922,5698144,0
78,1111103,1347902,1
79,1026529,1255918,1
80,5524884,6897054,1
81,6529960,8081992,1
82,16261287,18363834,1
83,4304832,5487012,1
84,16652437,18764949,1
85,1195302,1436315,1
86,13407441,15459730,1
87,22592441,24935397,1
88,10121454,11972847,1
89,10126569,11978628,1
90,4525253,5787451,1
91,27791985,30295098,1
92,8956683,10748732,1
93,1609418,1881200,1
94,3289895,4062685,1
95,6928177,8570122,1
96,22352277,24675114,0
97,7647470,9329491,1
98,6551906,8103929,1
99,27601590,30104736,1
100,347076,347460,1
101,17655590,19788037,1
102,12846025,14868164,1
103,15681024,17773445,1
104,7646649,3868391,1
105,664100,849162,0
106,9219246,11041114,1
107,2216516,2628834,1
108,12516747,14528870,1
109,1221109,1462527,1
110,1815379,2117610,1
111,1468963,1725448,1
112,733063,929338,1
113,6185478,7657621,1
114,5406035,6778260,1
115,4776664,6048921,1
116,2828814,3411480,1
117,26208182,28681184,1
118,33381727,36025078,1
119,5028989,6331309,0
120,577214,742285,1
121,22451458,24774409,1
122,8214793,9956932,1
123,571845,735564,1
124,35431119,38128332,0
125,557270,717506,1
126,13197756,11949482,1
127,15250357,17322783,1
128,1226280,1466844,1
129,11358333,13290486,1
130,11854846,13847001,1
131,29664227,32197403,1
132,9175328,9310115,1
133,984998,1208444,1
134,29084258,31617451,1
135,8905201,10697321,1
136,32069343,34672612,1
137,17793575,19926114,1
138,29805238,32338480,1
139,5414664,6786821,1
140,1144099,1384841,0
141,11697575,13669739,1
142,29595555,32128834,1
143,17794331,19926850,1
144,19157144,21359807,1
145,6877774,8499576,1
146,9424804,11256946,1
147,11425821,13357972,1
148,20228657,22491385,1
149,11666276,13638434,1
150,26068198,28521035,0
151,613347,786386,1
152,11415527,13347705,1
153,10464824,12336949,0
154,833396,1042987,1
155,35939194,38640781,1
156,28652715,31185835,1
157,3915876,5008184,1
158,495024,633938,1
159,26200788,28673410,1
160,22842802,25195726,1
161,22422327,24755190,1
162,18965799,21198467,1
163,16351832,18454325,1
164,6996131,1333487,1
165,347759,348481,0
166,12755422,14777605,1
167,623210,798709,1
168,25317823,27770515,1
169,25266395,27719296,1
170,4624573,5886724,1
171,3628763,4581209,1
172,6887713,8529666,1
173,7616826,9298890,0
174,1033835,1263418,1
175,6179805,7671948,1
176,18494852,20657538,1
177,7628428,9310397,1
178,13967746,16020086,1
179,32278948,34892177,1
180,13078242,15180431,1
181,6578747,8130780,1
182,20700674,22973217,0
183,1579978,1848793,1
184,12409409,14421540,1
185,5694753,7106906,1
186,1161675,1402408,1
187,12965688,14997890,1
188,27290384,29783474,1
189,26209469,28682313,1
190,13157747,15189931,1
191,8646643,10418615,1
192,33390250,36033468,1
193,3345542,4147791,1
194,27902025,30405143,1
195,7615870,9297966,1
196,403890,449360,1
197,787119,990624,1
198,28653652,31186827,1
199,17815323,19947790,1
